Problem,Rationale,options,correct,annotated_formula,linear_formula,category
"together , 15 type a machines and 7 type b machines can complete a certain job in 4 hours . together 8 type b machines and 15 type c machines can complete the same job in 11 hours . how many hours r would it take one type a machine , one type b machine , and one type c machine working together to complete the job ( assuming constant rates for each machine ) ?","""say the rates of machines a , b and c are a , b , and c , respectively . together 15 type a machines and 7 type b machines can complete a certain job in 4 hours - - > 15 a + 7 b = 1 / 4 ; together 8 type b machines and 15 type c machines can complete the same job in 11 hours - - > 8 b + 15 c = 1 / 11 . sum the above : 15 a + 15 b + 15 c = 1 / 4 + 1 / 11 = 15 / 44 - - > reduce by 15 : a + b + c = 1 / 44 - - > so , the combined rate of the three machines is 1 / 44 job / hour - - > time is reciprocal of the rate , thus machines a , b and c can do the job r in 44 hours . answer : c .""","a ) 22 hours , b ) 30 hours , c ) 44 hours , d ) 60 hours , e ) it can not be determined from the information above .",c,"divide(const_1, divide(add(divide(const_1, 4), divide(const_1, 11)), 15))","divide(const_1,n2)|divide(const_1,n5)|add(#0,#1)|divide(#2,n0)|divide(const_1,#3)|",physics
"the cricket team of 11 members is 28 yrs old & the wicket keeper is 3 yrs older . if the ages ofthese 2 are excluded , the average age of theremaining players is 1 year less than the average age of the whole team . what is the average age of the team ?","""let the average age of the whole team be x years . 11 x - ( 28 + 31 ) = 9 ( x - 1 ) = > 11 x - 9 x = 50 = > 2 x = 50 = > x = 25 . so , average age of the team is 25 years . d""","a ) 21 , b ) 22 , c ) 23 , d ) 25 , e ) 28",d,"divide(subtract(add(add(28, 3), 28), subtract(11, 2)), subtract(11, subtract(11, 2)))","add(n1,n2)|subtract(n0,n3)|add(n1,#0)|subtract(n0,#1)|subtract(#2,#1)|divide(#4,#3)|",general
"a , b and c are partners . a receives 2 / 3 of profits , b and c dividing the remainder equally . a ' s income is increased by rs . 400 when the rate to profit rises from 5 to 7 percent . find the capital of b ?","""a : b : c = 2 / 3 : 1 / 6 : 1 / 6 = 4 : 1 : 1 x * 2 / 100 * 2 / 3 = 400 b capital = 30000 * 1 / 6 = 5000 . answer : d""","a ) 3999 , b ) 7799 , c ) 2500 , d ) 5000 , e ) 2912",d,"divide(multiply(400, const_100), 2)","multiply(n2,const_100)|divide(#0,n0)|",general
"a reduction of 30 % in the price of apples would enable a man to obtain 54 more for rs . 30 , what is reduced price per dozen ?","""b 30 * ( 30 / 100 ) = 9 - - - 54 ? - - - 12 = > rs . 2""","a ) 1 , b ) 2 , c ) 6 , d ) 7 , e ) 10",b,"multiply(divide(divide(multiply(30, 30), const_100), 54), const_12)","multiply(n0,n2)|divide(#0,const_100)|divide(#1,n1)|multiply(#2,const_12)|",gain
"a certain psychologist charges $ 35 more for the first hour of therapy than for each additional hour . if the total charge to a patient who receives 5 hours of therapy is $ 350 , what is the total charge to a patient who receives only 2 hours of therapy ?","""let the charge for first hour = x + 35 then charge for each additional hour = x x + 35 + 4 x = 350 = > 5 x = 315 = > x = 63 total charge for patient for 3 hours of therapy = x + 35 + x = 2 x + 35 = 161 $ answer c""","a ) $ 120 , b ) $ 135 , c ) $ 161 , d ) $ 165 , e ) $ 192",c,"add(multiply(divide(subtract(350, 35), 5), 2), 35)","subtract(n2,n0)|divide(#0,n1)|multiply(n3,#1)|add(n0,#2)|",general
"the average length of 6 ropes is 80 cm . if the average length of one third of the ropes measure to 70 cm , what is the average of the other ropes ?",edit : given ( x 1 + x 2 . . . + x 6 ) / 6 = 80 ( x 1 + x 2 . . . + x 6 ) = 480 - - > eq 1 . now given avg length of one third ropes is 70 . that means out 6 / 3 = 2 ropes . let the avg length of two ropes be ( x 1 + x 2 ) / 2 = 70 . ( x 1 + x 2 ) = 140 . - - > eq 2 . now we are asked to find the average of the remaining i . e . ( x 3 + x 4 + x 5 + x 6 ) substitute eq 2 in eq 1 then we get 140 + x 3 + x 4 + x 5 + x 6 = 480 = > x 3 + x 4 + x 5 + x 6 = 340 now divide 340 by 4 we get 85 . = > ( x 3 + x 4 + x 5 + x 6 ) / 4 = 85 = avg length of remaining ropes . imo correct option is b .,"a ) 75 . , b ) 85 . , c ) 90 . , d ) 94 . , e ) 100 .",b,"multiply(subtract(80, divide(multiply(70, const_2), 6)), divide(6, const_4))","divide(n0,const_4)|multiply(n2,const_2)|divide(#1,n0)|subtract(n1,#2)|multiply(#0,#3)",general
"x and y are two towns . ganesh covers the distance from x to y at an average speed of 44 km / hr . however , he covers the distance from y to x at an average speed of 36 km / hr . his average speed during the whole journey in km / hr . is :","""solution : average speed = 2 xy / x + y = 2 * 44 * 36 / 44 + 36 = 39.6 answer : a""","a ) 39.6 , b ) 43 , c ) 40 , d ) 38 , e ) 29",a,"divide(add(add(subtract(44, const_10), const_100), add(subtract(44, const_10), const_100)), add(divide(add(subtract(44, const_10), const_100), 44), divide(add(subtract(44, const_10), const_100), 36)))","subtract(n0,const_10)|add(#0,const_100)|add(#1,#1)|divide(#1,n0)|divide(#1,n1)|add(#3,#4)|divide(#2,#5)|",general
if the cost price is 95 % of selling price then what is the profit percentage .,"""selling price = rs 100 : then cost price = rs 95 : profit = rs 5 . profit = { ( 5 / 95 ) * 100 } % = 5.26 % answer is a .""","a ) 5.26 , b ) 5.16 , c ) 5.61 , d ) 5.52 , e ) 5",a,"multiply(divide(subtract(const_100, 95), 95), const_100)","subtract(const_100,n0)|divide(#0,n0)|multiply(#1,const_100)|",gain
one fourth of a solution that was 10 % sugar by weight was replaced by a second solution resulting in a solution that was 20 percent sugar by weight . the second solution was what percent sugar by weight ?,"""say the second solution ( which was 1 / 4 th of total ) was x % sugar , then 3 / 4 * 0.1 + 1 / 4 * x = 1 * 0.20 - - > x = 0.5 . alternately you can consider total solution to be 100 liters and in this case you ' ll have : 75 * 0.1 + 25 * x = 100 * 0.20 - - > x = 0.5 . answer : b .""","a ) 65 % , b ) 50 % , c ) 22 % , d ) 18 % , e ) 8.5 %",b,"multiply(divide(subtract(multiply(const_100, divide(20, const_100)), multiply(subtract(const_100, multiply(divide(const_1, const_4), const_100)), divide(10, const_100))), multiply(divide(const_1, const_4), const_100)), const_100)","divide(n1,const_100)|divide(n0,const_100)|divide(const_1,const_4)|multiply(#0,const_100)|multiply(#2,const_100)|subtract(const_100,#4)|multiply(#1,#5)|subtract(#3,#6)|divide(#7,#4)|multiply(#8,const_100)|",gain
a circular logo is enlarged to fit the lid of a jar . the new diameter is 20 per cent larger than the original . by what percentage has the area of the logo increased ?,"""let old diameter be 4 , so radius is 2 old area = 4 π new diameter is 4.8 , so radius is 2.4 new area = 5.76 π increase in area is 1.76 π % increase in area = 1.76 / 4 * 100 so , % increase is 44 % answer will be ( d )""","a ) 50 , b ) 80 , c ) 100 , d ) 44 , e ) 250",d,"multiply(divide(subtract(power(add(divide(multiply(20, const_2), const_1000), const_3), const_2), const_4), const_4), const_100)","multiply(n0,const_2)|divide(#0,const_1000)|add(#1,const_3)|power(#2,const_2)|subtract(#3,const_4)|divide(#4,const_4)|multiply(#5,const_100)|",geometry
what is the perimeter of a square field whose diagonal is 8 √ 2 ?,"""4 a = 32 m answer : b""","a ) 82 m , b ) 32 m , c ) 27 m , d ) 26 m , e ) 76 m",b,"divide(add(add(sqrt(subtract(power(8, const_2), power(2, const_2))), 2), add(sqrt(subtract(power(8, const_2), power(2, const_2))), 2)), 2)","power(n0,const_2)|power(n1,const_2)|subtract(#0,#1)|sqrt(#2)|add(n1,#3)|add(#4,#4)|divide(#5,n1)|",geometry
"in a division sum , the quotient is 120 , the divisor 456 and the remainder 333 , find the dividend ?","""explanation : 120 * 456 + 333 = 55053 answer : d""","a ) 55287 , b ) 29887 , c ) 27768 , d ) 55053 , e ) 17191",d,"add(multiply(120, 456), 333)","multiply(n0,n1)|add(n2,#0)|",general
what is the remainder when ( 71 ) ( 73 ) is divided by 9 ?,"""( 71 ) ( 73 ) = ( 72 - 1 ) ( 72 + 1 ) = 72 ^ 2 - 1 which is 1 less than a multiple of 9 . then the remainder will be 8 . the answer is e .""","a ) 1 , b ) 2 , c ) 4 , d ) 6 , e ) 8",e,"reminder(multiply(73, 71), 9)","multiply(n0,n1)|reminder(#0,n2)|",general
"what is the probability that a number selected from number 1 to 30 is prime number , when each of the given numbers is equally likely to be selected ?","x = { 2,3 , 5,7 , 11,13 , 17,19 , 23,29 } n ( x ) = 10 n ( s ) = 30 hence required probability = n ( x ) / n ( s ) = 10 / 30 option a is answer","a ) 10 / 30 , b ) 20 / 30 , c ) 1 , d ) 5 / 30 , e ) 15 / 30",a,"divide(multiply(const_5, const_2), 30)","multiply(const_2,const_5)|divide(#0,n1)",probability
a grocer purchased a quantity of bananas at 3 pounds for $ 0.50 and sold the entire quantity at 4 pounds for $ 1.00 . how many pounds did the grocer purchase if the profit from selling the bananas was $ 8.00 ?,"""cost price of 1 pound of bananas = 0.5 / 3 = 1 / 6 selling price of 1 pound of bananas = 1 / 4 profit per pound = ( 1 / 4 - 1 / 6 ) = ( 1 / 12 ) total profit is given as 8 ( 1 / 12 ) * x = 8 x = 96 answer : c""","a ) 40 , b ) 60 , c ) 96 , d ) 120 , e ) 240",c,"divide(8.00, subtract(divide(1.00, 4), divide(0.50, 3)))","divide(n3,n2)|divide(n1,n0)|subtract(#0,#1)|divide(n4,#2)|",gain
"the volume of a certain substance is always directly proportional to its weight . if 48 cubic inches of the substance weigh 112 ounces , what is the volume , in cubic inches , of 53 ounces of this substance ?","""112 ounces of a substance has a volume of 48 cubic inches 53 ounces of a substance has a volume of ( 48 / 112 ) * 53 = 22 cubic inches answer d""","a ) 27 , b ) 36 , c ) 42 , d ) 22 , e ) 147",d,"multiply(divide(48, 112), 53)","divide(n0,n1)|multiply(n2,#0)|",geometry
"two trains running in opposite directions cross a man standing on the platform in 27 seconds and 17 seconds respectively . if they cross each other in 22 seconds , what is the ratio of their speeds ?",let the speed of the trains be x and y respectively length of train 1 = 27 x length of train 2 = 17 y relative speed = x + y time taken to cross each other = 22 s = ( 27 x + 17 y ) / ( x + y ) = 22 = ( 27 x + 17 y ) / = 22 ( x + y ) = 5 x = 5 y = x / y = 5 / 5 = 1 / 1 i . e 1 : 1 answer : a,"a ) 1 : 1 , b ) 3 : 1 , c ) 2 : 3 , d ) 3 : 2 , e ) 3 : 4",a,"divide(subtract(27, 22), subtract(22, 17))","subtract(n0,n2)|subtract(n2,n1)|divide(#0,#1)",physics
"roses can be purchased individually for $ 5.30 , one dozen for $ 36 , or two dozen for $ 50 . what is the greatest number of roses that can be purchased for $ 680 ?","""buy as many $ 50 deals as possible . we can by 650 / 50 = 13 two dozen roses , thus total of 13 * 24 = 312 roses . we are left with 680 - 650 = $ 30 . we can buy 30 / 5.3 = ~ 5 roses for that amount . total = 312 + 5 = 317 . answer : c .""","a ) 156 , b ) 162 , c ) 317 , d ) 324 , e ) 325",c,"add(multiply(floor(divide(680, 50)), multiply(const_12, const_2)), floor(divide(subtract(680, multiply(floor(divide(680, 50)), 50)), 5.30)))","divide(n3,n2)|multiply(const_12,const_2)|floor(#0)|multiply(n2,#2)|multiply(#2,#1)|subtract(n3,#3)|divide(#5,n0)|floor(#6)|add(#7,#4)|",general
the salaries of a and b together is rs . 14000 . a spend 80 % of his salary and b spends 85 % of his salary . what is the salary of b if their savings are equal ?,"let the salaries of a and b are x and y respectively x + y = 14000 savings of a = 20 x / 100 = savings of b = 15 y / 100 x = ¾ y 3 / 4 y + y = 14000 , 7 y / 4 = 14000 , y = 8000 answer : b","a ) rs . 6000 , b ) rs . 8000 , c ) rs . 7500 , d ) rs . 6500 , e ) rs . 8500",b,"divide(subtract(14000, multiply(14000, divide(80, const_100))), subtract(subtract(add(const_1, const_1), divide(80, const_100)), divide(85, const_100)))","add(const_1,const_1)|divide(n1,const_100)|divide(n2,const_100)|multiply(n0,#1)|subtract(#0,#1)|subtract(n0,#3)|subtract(#4,#2)|divide(#5,#6)",gain
how many of the positive divisors q of 120 are also multiples of 4 not including 120 ?,"""4 , 8,12 , 20,24 , 40,60 . ( 7 ) is the answer other way : factors of 120 = 2 ^ 3 * 3 * 5 separate 2 ^ 2 ( which means 4 ) now , calculate the number of other factors . q = 2 * 3 * 5 = total positive factors are 2 * 2 * 2 = 8 this 8 factors include 120 so subtract 1 from 8 ans is 7 = d""","a ) 3 . , b ) 4 . , c ) 5 . , d ) 7 . , e ) 8 .",d,"divide(divide(divide(120, 4), const_2), const_3)","divide(n0,n1)|divide(#0,const_2)|divide(#1,const_3)|",general
"how many integers between 323,700 and 458,600 have tens digit 1 and units digit 3 ?","""there is one number in hundred with 1 in the tens digit and 3 in the units digit : 13 , 113 , 213 , 313 , . . . the difference between 323,700 and 458,600 is 458,600 - 323,700 = 134,900 - one number per each hundred gives 134,900 / 100 = 1,349 numbers . answer : e .""","a ) 10,300 , b ) 10,030 , c ) 1,353 , d ) 1,352 , e ) 1,349",e,"subtract(458,600, add(add(multiply(const_2, const_100), multiply(add(const_3, const_4), const_10)), const_2))","add(const_3,const_4)|multiply(const_100,const_2)|multiply(#0,const_10)|add(#1,#2)|add(#3,const_2)|subtract(n1,#4)|",general
"two equally sized jugs full of water are each emptied into two separate unequally sized empty jugs , x and y . now , jug x is 1 / 6 full , while jug y is 2 / 3 full . if water is poured from jug x into jug y until jug y is filled , what fraction of jug x then contains water ?","""suppose the water in each jug is l liters cx x ( 1 / 6 ) = l cx = 6 l liters cx is capacity of x cy x ( 2 / 3 ) = l cy = 3 l / 2 liters cy is capacity of y now , y is 3 l / 2 - l empty = l / 2 empty so , we can put only l / 2 water in jug y from jug x jug x ' s remaining water = l - l / 2 = l / 2 fraction of x which contains water = water / cx = ( l / 2 ) / 6 l = 1 / 12 answer will be b""","a ) 0 , b ) 1 / 12 , c ) 2 / 15 , d ) 1 / 10 , e ) 2 / 10",b,"multiply(divide(1, 6), divide(subtract(1, divide(2, 3)), divide(2, 3)))","divide(n0,n1)|divide(n2,n3)|subtract(n0,#1)|divide(#2,#1)|multiply(#0,#3)|",general
11 + 12 + 13 + . . . 51 + 52 + 53 = ?,"""sum = 11 + 12 + 13 + . . . 51 + 52 + 53 sum of n consecutive positive integers starting from 1 is given as n ( n + 1 ) / 2 sum of first 53 positive integers = 53 * 54 / 2 sum of first 10 positive integers = 11 * 10 / 2 sum = 11 + 12 + 13 + . . . 51 + 52 + 53 = 53 * 54 / 2 - 11 * 10 / 2 = 1376 answer : b""","a ) 1361 , b ) 1376 , c ) 1363 , d ) 1364 , e ) 1365",b,"divide(multiply(51, add(51, 11)), 12)","add(n0,n3)|multiply(n3,#0)|divide(#1,n1)|",general
"a man buys 52 pens at marked price of 46 pens from a whole seller . if he sells these pens giving a discount of 1 % , what is the profit percent ?","""explanation : let marked price be re . 1 each c . p . of 52 pens = rs . 46 s . p . of 52 pens = 99 % of rs . 52 = rs . 51.48 profit % = ( profit / c . p . ) x 100 profit % = ( 5.48 / 46 ) x 100 = 11.91 % answer : d""","a ) 7.6 % , b ) 7.7 % , c ) 11.32 % , d ) 11.91 % , e ) 7.8 %",d,"multiply(const_100, divide(subtract(multiply(52, subtract(const_100, 1)), multiply(46, const_100)), multiply(46, const_100)))","multiply(n1,const_100)|subtract(const_100,n2)|multiply(n0,#1)|subtract(#2,#0)|divide(#3,#0)|multiply(#4,const_100)|",gain
express 50 mps in kmph ?,"""25 * 18 / 5 = 180 kmph answer : d""","a ) 172 , b ) 160 , c ) 150 , d ) 180 , e ) 120",d,"multiply(divide(50, const_1000), const_3600)","divide(n0,const_1000)|multiply(#0,const_3600)|",physics
the total price of a kilogram each of shimla apples and red delicious apples is 250 rupees more than the total price of a kilogram each of red delicious apples and fuji apples . fuji apples is how much cheaper than shimla apples ?,( shimla + red delicious ) - ( red delicious + fuji ) = 250 shimla - fuji = 250 answer : a,"a ) 250 , b ) 125 , c ) 500 , d ) 100 , e ) 80",a,"multiply(250, const_1)","multiply(n0,const_1)",general
how long does a train 110 m long running at the speed of 72 km / hr takes to cross a bridge 138 m length ?,speed = 72 * 5 / 18 = 20 m / sec total distance covered = 110 + 138 = 248 m . required time = 248 / 20 = 12.4 sec . answer : b,"a ) 82.1 sec . , b ) 12.4 sec , c ) 19.1 sec . , d ) 17.1 sec . , e ) 42.1 sec .",b,"divide(add(110, 138), multiply(72, const_0_2778))","add(n0,n2)|multiply(n1,const_0_2778)|divide(#0,#1)",physics
what is the 25 th digit to the right of the decimal point in the decimal form of 6 / 11 ?,"""explanation : to determine the greatest possible number of members , first recognize that each member had to contribute the lowest amount given . build an inequality for the individual contributions and the total amount collected , with n = the number of members in the club , and solve for n . 12 n ≤ 599 n ≤ 49 11 / 12 since n represents individual people it must be a whole number . thus the greatest number of people is 49 . answer : option c""","a ) 3 , b ) 4 , c ) 5 , d ) 6 , e ) 7",c,"divide(6, 11)","divide(n1,n2)|",general
